ID UTENTE;1) Penso che vorrei usare questo sistema frequentemente;2) Ho trovato il sistema inutilmente complesso;3) Ho trovato il sistema facile da usare;4) Penso che avrei bisogno del supporto di una persona tecnica per poter usare questo sistema;5) Ho trovato che le varie funzioni di questo sistema fossero ben integrate;6) Ho pensato che ci fosse troppa incoerenza in questo sistema;7) Immagino che la maggior parte delle persone imparerebbe a usare questo sistema molto rapidamente;8) Ho trovato il sistema molto macchinoso da usare;9) Mi sono sentito molto sicuro nell’usare il sistema;10) Ho dovuto imparare molte cose prima di poter iniziare a usare questo sistema;Ho impiegato poco tempo per completare le azioni desiderate;L'interfaccia grafica e il design sono complesse e non aiutano nell'utilizzo del chatbot in modo efficace;Il sistema potrebbe influire il modo in cui pianificherò i pasti o sceglierò gli alimenti in futuro;Quanto sei soddisfatto riguardo alle capacità del sistema di comprendere le tue necessità alimentari (ad esempio intolleranze o preferenze)?;Non riuscito ad esprimere preferenze (es. restrizioni dietetiche, intolleranze, allergie) con facilità;Il sistema ha tenuto conto efficacemente delle mie preferenze (es. restrizioni dietetiche, intolleranze, allergie);Quanto sei soddisfatto riguardo alla funzionalità di confronto della sostenibilità di due ricette?;I criteri e i meccanismi di comparazione tra ricette sono difficili da capire e poco sensati;Il chatbot mi ha aiutato a prendere una decisione tra le ricette confrontate;La comparazione delle ricette ha considerato accuratamente gli aspetti di sostenibilità e salubrità;Quanto sei soddisfatto riguardo alla capacità del sistema di proporre ricette alternative e sostenibili?;I criteri e i meccanismi di suggerimento delle ricette sono chiari e comprensibili;Secondo le mie conoscenze, le alternative proposte sono poco sostenibili;Quanto sei soddisfatto riguardo alla capacità del sistema di trovare ricette sostenibili in base agli ingredienti forniti?;Il chatbot non ha saputo proporre ricette in linea con gli ingredienti forniti;Le ricette suggerite sono state percepite come salutari;Le ricette suggerite non sono sostenibili a livello ambientale;Quanto sei soddisfatto delle capacità del sistema di rispondere a domande riguardo la sostenibilità o la salubrità delle ricette?;Le risposte alle domande sulla salubrità o sostenibilità delle ricette sono state chiare e comprensibili;Le risposte alle domande fatte sono state coerenti con le informazioni richieste;Quando sei soddisfatto riguardo alle capacità del sistema di giustificare il motivo delle sue risposte e raccomandazioni?;Le spiegazioni fornite dal chatbot sono state poco chiare e difficili da comprendere;Hai trovato utili le spiegazioni per comprendere le scelte del chatbot;Il chatbot ha giustificato adeguatamente i suggerimenti sulla sostenibilità;Quando sei soddisfatto complessivamente riguardo alla qualità del dialogo con il chatbot?;Le risposte del chatbot sono lente ed i tempi di attesa per una risposta sono troppo lunghi;Le risposta del chatbot sono state complessivamente accurate;Il chatbot è stato reattivo durante la conversazione;L'interazione e il dialogo con il chatbot sono stati coerenti e naturali;Ti sei sentito a tuo agio nel condividere le tue preferenze alimentari con il sistema
m02;2;1;3;3;4;2;3;2;4;1;5;1;3;4;3;3;5;2;5;5;5;5;2;5;2;4;2;3;3;3;4;2;4;5;3;2;3;3;3;5
m03;3;2;3;4;4;2;4;2;4;1;5;1;3;4;1;4;4;2;4;4;5;5;1;5;1;5;1;5;5;3;5;1;5;5;4;4;5;3;3;5
s12;4;2;4;3;4;2;5;3;4;1;5;4;4;4;1;4;5;1;5;5;5;4;1;4;2;1;1;4;5;5;4;1;5;5;4;1;5;4;4;5
s13;4;1;5;1;3;1;5;1;5;1;1;1;5;3;1;3;5;1;5;4;4;3;1;5;1;5;1;2;4;3;4;2;5;1;1;1;2;5;2;5
S14;4;1;5;1;5;4;5;2;5;1;1;1;4;4;1;5;5;1;5;5;5;5;2;4;1;5;2;4;5;5;5;1;5;4;4;2;4;5;5;4
s15;4;1;5;1;5;1;5;1;5;1;1;1;4;5;4;5;5;1;4;5;5;5;4;5;1;5;4;5;4;5;3;2;4;5;5;2;4;5;5;5
m06;5;1;5;1;4;1;5;1;5;1;3;1;4;4;4;5;4;2;5;4;4;4;2;4;4;4;1;4;5;5;5;2;5;4;5;3;4;5;4;5
m08;5;3;5;1;3;3;3;3;5;3;4;1;5;3;1;5;3;4;4;4;4;4;4;5;2;4;1;5;2;4;5;1;4;4;5;3;5;3;4;5
m14;5;3;5;1;5;1;4;1;5;1;3;2;4;4;4;3;1;2;1;1;1;1;3;2;3;4;2;4;4;5;5;4;2;4;5;3;4;2;2;5
m09;5;2;5;1;4;1;2;1;3;1;3;1;4;3;2;5;3;2;4;4;4;4;1;4;2;5;2;4;3;5;4;4;5;5;5;3;3;4;3;5
m11;5;3;5;1;3;4;4;1;3;1;4;1;4;3;3;3;4;2;3;4;3;4;3;4;4;4;1;3;3;2;4;1;3;3;4;5;2;3;4;5
m04;5;2;5;1;4;1;4;2;4;1;4;3;2;2;3;2;3;2;2;3;3;2;2;2;5;3;3;3;3;4;4;3;3;3;2;1;2;5;3;3
